Species_TTOL	NEO	rest_of_brain	rest_of_brain2	BOD	BOD2
Anourosorex_squamipes	1.83	2.5613393948666	6.56045949569562	1.86328760196422	3.47184068763358
Atelerix_algirus	2.708	3.45937494595256	11.9672750166842	1.86328760196422	3.47184068763358
Blarina_brevicauda	1.837	2.56526016953364	6.58055973739577	1.86328760196422	3.47184068763358
Chrysochloris_asiatica	2.052	2.8124927980164	7.91011573889411	1.86328760196422	3.47184068763358
Chrysochloris_stuhlmanni	2.109	2.83356529108882	8.02909225886326	1.86328760196422	3.47184068763358
Crocidura_attenuata	1.403	2.29369840905507	5.26105239170176	1.86328760196422	3.47184068763358
Crocidura_flavescens	1.725	2.58207746336137	6.66712402679868	1.86328760196422	3.47184068763358
Crocidura_hildegardeae	1.415	2.30064063157812	5.29294731566815	1.86328760196422	3.47184068763358
Crocidura_denti	1.456	2.36479451634544	5.59225310453746	1.86328760196422	3.47184068763358
Crocidura_russula	1.403	2.26471093422473	5.12891561559707	1.86328760196422	3.47184068763358
Crocidura_suaveolens	1.391	2.25063238800831	5.065346145952	1.86328760196422	3.47184068763358
Cryptotis_parvus	1.559	2.36248471949945	5.5813340498684	1.86328760196422	3.47184068763358
Desmana_moschata	2.993	3.55635615102067	12.6476690729026	1.86328760196422	3.47184068763358
Echinops_telfairi	1.713	2.74834886210844	7.55342146785276	1.86328760196422	3.47184068763358
Echinosorex_gymnura	3.035	3.7443098228403	14.0198560494184	1.86328760196422	3.47184068763358
Erinaceus_europaeus	2.72	3.47896517613914	12.1031986967888	1.86328760196422	3.47184068763358
Euroscaptor_micrura	2.196	2.88161190363473	8.30368716316934	1.86328760196422	3.47184068763358
Galemys_pyrenaicus	2.53	3.0873915761491	9.53198674447644	1.86328760196422	3.47184068763358
Geogale_aurita	0.857	2.08153227068238	4.33277659389213	1.86328760196422	3.47184068763358
Hemicentetes_semispinosus	1.886	2.87971667978679	8.29276815584225	1.86328760196422	3.47184068763358
Hemiechinus_auritus	2.486	3.22302557506589	10.3878938575288	1.86328760196422	3.47184068763358
Hylomys_suillus	2.25	3.04265473490601	9.25774783584598	1.86328760196422	3.47184068763358
Limnogale_mergulus	2.291	3.01708868959485	9.10282416088118	1.86328760196422	3.47184068763358
Microgale_dobsoni	1.797	2.70344201843958	7.30859874706469	1.86328760196422	3.47184068763358
Microgale_talazaci	1.949	2.85130596152045	8.12994568620207	1.86328760196422	3.47184068763358
Micropotamogale_lamottei	2.16	2.86835860528116	8.22748108849048	1.86328760196422	3.47184068763358
Micropotamogale_ruwenzorii	2.358	3.0239960099372	9.14455186811612	1.86328760196422	3.47184068763358
