Species_TTOL	MOB	rest_of_brain	BOD	BOD2
Anourosorex_squamipes	1.509	2.5613393948666	1.86328760196422	3.47184068763358
Atelerix_algirus	2.466	3.45937494595256	1.86328760196422	3.47184068763358
Blarina_brevicauda	1.461	2.56526016953364	1.86328760196422	3.47184068763358
Chrysochloris_asiatica	1.768	2.8124927980164	1.86328760196422	3.47184068763358
Chrysochloris_stuhlmanni	1.782	2.83356529108882	1.86328760196422	3.47184068763358
Crocidura_attenuata	1.294	2.29369840905507	1.86328760196422	3.47184068763358
Crocidura_flavescens	1.549	2.58207746336137	1.86328760196422	3.47184068763358
Crocidura_hildegardeae	1.29	2.30064063157812	1.86328760196422	3.47184068763358
Crocidura_denti	1.288	2.36479451634544	1.86328760196422	3.47184068763358
Crocidura_russula	1.233	2.26471093422473	1.86328760196422	3.47184068763358
Crocidura_suaveolens	1.212	2.25063238800831	1.86328760196422	3.47184068763358
Cryptotis_parvus	1.312	2.36248471949945	1.86328760196422	3.47184068763358
Desmana_moschata	2.151	3.55635615102067	1.86328760196422	3.47184068763358
Echinops_telfairi	1.856	2.74834886210844	1.86328760196422	3.47184068763358
Echinosorex_gymnura	2.631	3.7443098228403	1.86328760196422	3.47184068763358
Erinaceus_europaeus	2.526	3.47896517613914	1.86328760196422	3.47184068763358
Euroscaptor_micrura	1.726	2.88161190363473	1.86328760196422	3.47184068763358
Galemys_pyrenaicus	1.593	3.0873915761491	1.86328760196422	3.47184068763358
Geogale_aurita	1.068	2.08153227068238	1.86328760196422	3.47184068763358
Hemicentetes_semispinosus	1.969	2.87971667978679	1.86328760196422	3.47184068763358
Hemiechinus_auritus	2.242	3.22302557506589	1.86328760196422	3.47184068763358
Hylomys_suillus	1.933	3.04265473490601	1.86328760196422	3.47184068763358
Limnogale_mergulus	1.635	3.01708868959485	1.86328760196422	3.47184068763358
Microgale_dobsoni	1.728	2.70344201843958	1.86328760196422	3.47184068763358
Microgale_talazaci	1.835	2.85130596152045	1.86328760196422	3.47184068763358
Micropotamogale_lamottei	1.533	2.86835860528116	1.86328760196422	3.47184068763358
Micropotamogale_ruwenzorii	1.528	3.0239960099372	1.86328760196422	3.47184068763358
Myosorex_sclateri	1.539	2.52863027572128	1.86328760196422	3.47184068763358
Neomys_anomalus	1.117	2.4253493121911	1.86328760196422	3.47184068763358
Neomys_fodiens	1.215	2.4844525337294	1.86328760196422	3.47184068763358
Oryzorictes_hova	1.672	2.72555444984195	1.86328760196422	3.47184068763358
Parascalops_breweri	1.77	2.9176407015745	1.86328760196422	3.47184068763358
Potamogale_velox	1.924	3.58573403914356	1.86328760196422	3.47184068763358
Ruwenzorisorex_suncoides	1.246	2.54319142403048	1.86328760196422	3.47184068763358
Scalopus_aquaticus	1.938	3.09133564705225	1.86328760196422	3.47184068763358
Scutisorex_somereni	1.769	2.77648055519446	1.86328760196422	3.47184068763358
Setifer_setosus	2.329	3.13780347988815	1.86328760196422	3.47184068763358
Solenodon_paradoxus	2.672	3.63091110993978	1.86328760196422	3.47184068763358
Sorex_alpinus	1.22	2.39429748323639	1.86328760196422	3.47184068763358
Sorex_araneus	1.236	2.30376222600923	1.86328760196422	3.47184068763358
Sorex_cinereus	1.068	2.19894571979351	1.86328760196422	3.47184068763358
Sorex_fumeus	1.179	2.35557876339451	1.86328760196422	3.47184068763358
Sorex_hoyi	0.806	1.95473569737117	1.86328760196422	3.47184068763358
Sorex_minutus	0.949	2.03191366086741	1.86328760196422	3.47184068763358
Suncus_etruscus	0.672	1.76381793243763	1.86328760196422	3.47184068763358
Suncus_murinus	1.567	2.54992986543294	1.86328760196422	3.47184068763358
Sylvisorex_granti	1.188	2.19026550669	1.86328760196422	3.47184068763358
Suncus_megalura	1.23	2.24721153694055	1.86328760196422	3.47184068763358
Talpa_europaea	1.78	2.9763963558453	1.86328760196422	3.47184068763358
Tenrec_ecaudatus	2.501	3.35823796436117	1.86328760196422	3.47184068763358
Aepyprymnus_rufescens	2.641375	4.0785367274352	1.86328760196422	3.47184068763358
Antechinus_flavipes	1.705864	2.78774994860876	1.86328760196422	3.47184068763358
Antechinus_minimus	1.703291	2.86153430048589	1.86328760196422	3.47184068763358
Bettongia_gaimardi	2.579326	4.04663551459762	1.86328760196422	3.47184068763358
Bettongia_penicillata	2.66736	3.98021273823091	1.86328760196422	3.47184068763358
Burramys_parvus	1.576341	2.92464113314859	1.86328760196422	3.47184068763358
Cercartetus_nanus	1.298853	2.67775290596171	1.86328760196422	3.47184068763358
Dactylopsila_trivirgata	2.457428	3.76646475332113	1.86328760196422	3.47184068763358
Dasycercus_cristicauda	1.990339	3.16814378922862	1.86328760196422	3.47184068763358
Dasyuroides_byrnei	2.029789	3.1709361619783	1.86328760196422	3.47184068763358
Dasyurus_geoffroii	2.536432	3.70221513935253	1.86328760196422	3.47184068763358
Dasyurus_hallucatus	2.401917	3.45874340368618	1.86328760196422	3.47184068763358
Dendrolagus_lumholtzi	2.602711	4.32056441398414	1.86328760196422	3.47184068763358
Distoechurus_pennatus	1.61066	2.99668674974598	1.86328760196422	3.47184068763358
Dorcopsis	2.6861	4.18833195300086	1.86328760196422	3.47184068763358
Echymipera_kalubu	2.376759	3.52847956017657	1.86328760196422	3.47184068763358
Gymnobelideus_leadbeateri	1.933933	3.34769853893654	1.86328760196422	3.47184068763358
Hypsiprymnodon_moschatus	2.523356	3.74212014161771	1.86328760196422	3.47184068763358
Isoodon_macrourus	2.590284	3.58290385753117	1.86328760196422	3.47184068763358
Isoodon_obesulus_obesulus	2.513351	3.62554911049539	1.86328760196422	3.47184068763358
Osphranter_antilopinus	2.977129	4.71459609027679	1.86328760196422	3.47184068763358
Macropus_giganteus	2.924383	4.77506983526938	1.86328760196422	3.47184068763358
Notamacropus_irma	2.813247	4.36841530467472	1.86328760196422	3.47184068763358
Notamacropus_parma	2.46449	4.20117855029655	1.86328760196422	3.47184068763358
Notamacropus_parryi	2.896802	4.51970786965636	1.86328760196422	3.47184068763358
Osphranter_robustus	2.961753	4.66347772236744	1.86328760196422	3.47184068763358
