Species_TTOL	SCH	rest_of_brain	BOD	BOD2
Petaurus_breviceps	1.783904	3.32467344517594	1.86328760196422	3.47184068763358
Petaurus_norfolcensis	1.835056	3.45766979672993	1.86328760196422	3.47184068763358
Petrogale_inornata	2.640978	4.23497248958282	1.86328760196422	3.47184068763358
Petrogale_lateralis	2.65215	4.16786355239828	1.86328760196422	3.47184068763358
Petrogale_penicillata	2.730702	4.31879823891567	1.86328760196422	3.47184068763358
Petrogale_purpureicollis	2.702086	4.24652097310723	1.86328760196422	3.47184068763358
Petropseudes_dahli	2.12483	3.69722055952986	1.86328760196422	3.47184068763358
Phascolarctos_cinereus	2.616581	4.22355030391757	1.86328760196422	3.47184068763358
Planigale_ingrami	0.437751	1.97840863192174	1.86328760196422	3.47184068763358
Planigale_maculata	0.773786	2.30272041723985	1.86328760196422	3.47184068763358
Potorous_tridactylus_tridactylus	2.443732	3.99808497676137	1.86328760196422	3.47184068763358
Pseudochirulus_canescens	1.795185	3.33597913853393	1.86328760196422	3.47184068763358
Pseudochirulus_forbesi	2.0086	3.47922966682932	1.86328760196422	3.47184068763358
Sarcophilus_harrisii	2.650599	4.14834965764349	1.86328760196422	3.47184068763358
Sminthopsis_crassicaudata	1.037426	2.53750425778387	1.86328760196422	3.47184068763358
Sminthopsis_leucopus	1.089905	2.66164229549523	1.86328760196422	3.47184068763358
Phalanger_gymnotis	2.443576	4.06032757480693	1.86328760196422	3.47184068763358
Thylacinus_cynocephalus	2.876507	4.70915133299125	1.86328760196422	3.47184068763358
Thylogale_billardierii	2.784118	4.34805949126278	1.86328760196422	3.47184068763358
Thylogale_stigmatica	2.681874	4.25065668458073	1.86328760196422	3.47184068763358
Trichosurus_vulpecula	2.524915	4.00237325530746	1.86328760196422	3.47184068763358
Vombatus_ursinus	3.128302	4.68410274637518	1.86328760196422	3.47184068763358
Wallabia_bicolor	2.943049	4.55349934894676	1.86328760196422	3.47184068763358
Balionycteris_maculata	1.373	2.68604357258994	1.86328760196422	3.47184068763358
Casinycteris_argynnis	1.539	2.89835140151989	1.86328760196422	3.47184068763358
Chironax_melanocephalus	1.423	2.75718362381577	1.86328760196422	3.47184068763358
Cynopterus_brachyotis	1.585	2.966833649282	1.86328760196422	3.47184068763358
Cynopterus_horsfieldii	1.754	3.11468350641045	1.86328760196422	3.47184068763358
Cynopterus_sphinx	1.646	3.05354966776212	1.86328760196422	3.47184068763358
Dobsonia_inermis	1.977	3.40766797562694	1.86328760196422	3.47184068763358
Dobsonia_moluccensis	2.146	3.63531672034154	1.86328760196422	3.47184068763358
Dobsonia_praedatrix	1.969	3.45265177566025	1.86328760196422	3.47184068763358
Eidolon_helvum	2.181	3.60406636908379	1.86328760196422	3.47184068763358
Eonycteris_spelaea	1.744	3.09326062869164	1.86328760196422	3.47184068763358
Epomophorus_labiatus	1.733	3.17341455082117	1.86328760196422	3.47184068763358
Epomops_franqueti	1.915	3.3178958890353	1.86328760196422	3.47184068763358
Hypsignathus_monstrosus	2.057	3.51177917774895	1.86328760196422	3.47184068763358
Macroglossus_minimus	1.358	2.72492739657078	1.86328760196422	3.47184068763358
Megaerops_ecaudatus	1.562	2.87855040696948	1.86328760196422	3.47184068763358
Megaloglossus_woermanni	1.5	2.80962194180342	1.86328760196422	3.47184068763358
Melonycteris_melanops	1.709	3.08827988670424	1.86328760196422	3.47184068763358
Melonycteris_woodfordi	1.622	2.98478330621441	1.86328760196422	3.47184068763358
Epomophorus_pusillus	1.471	2.8916991691473	1.86328760196422	3.47184068763358
Myonycteris_torquata	1.673	3.04038415947288	1.86328760196422	3.47184068763358
Notopteris_macdonaldi	1.718	3.14143861060649	1.86328760196422	3.47184068763358
Nyctimene_albiventer	1.474	2.89166094946112	1.86328760196422	3.47184068763358
Nyctimene_robinsoni	1.641	3.06521908417013	1.86328760196422	3.47184068763358
Nyctimene_vizcaccia	1.501	2.97019608506253	1.86328760196422	3.47184068763358
Paranyctimene_raptor	1.431	2.83904237199348	1.86328760196422	3.47184068763358
Pteropus_alecto	2.344	3.82069860124938	1.86328760196422	3.47184068763358
Pteropus_conspicillatus	2.416	3.89493121910952	1.86328760196422	3.47184068763358
Pteropus_hypomelanus	2.294	3.69716131393364	1.86328760196422	3.47184068763358
Pteropus_lylei	2.27	3.75598421253182	1.86328760196422	3.47184068763358
Pteropus_neohibernicus	2.452	3.92848620624869	1.86328760196422	3.47184068763358
Pteropus_poliocephalus	2.354	3.83016987335255	1.86328760196422	3.47184068763358
Pteropus_samoensis	2.335	3.73626675041077	1.86328760196422	3.47184068763358
Pteropus_scapulatus	2.31	3.70549571470575	1.86328760196422	3.47184068763358
Pteropus_temminckii	2.219	3.66354900940771	1.86328760196422	3.47184068763358
Pteropus_tonganus	2.303	3.75825829746648	1.86328760196422	3.47184068763358
Pteropus_vampyrus	2.47	3.92972371176801	1.86328760196422	3.47184068763358
Rousettus_aegyptiacus	1.919	3.32486399626551	1.86328760196422	3.47184068763358
Rousettus_amplexicaudatus	1.679	3.1617898919156	1.86328760196422	3.47184068763358
Scotonycteris_zenkeri	1.5	2.8251361190744	1.86328760196422	3.47184068763358
Sphaerias_blanfordi	1.526	2.89058047078486	1.86328760196422	3.47184068763358
Syconycteris_australis	1.386	2.75449107699007	1.86328760196422	3.47184068763358
Anoura_caudifer	1.196	2.5806238378183	1.86328760196422	3.47184068763358
Anoura_geoffroyi	1.382	2.74657171798292	1.86328760196422	3.47184068763358
Ardops_nichollsi	1.297	2.72119019257957	1.86328760196422	3.47184068763358
Artibeus_cinereus	1.301	2.64696591916355	1.86328760196422	3.47184068763358
Artibeus_concolor	1.403	2.77277474031503	1.86328760196422	3.47184068763358
Artibeus_jamaicensis	1.644	2.98333261088124	1.86328760196422	3.47184068763358
Artibeus_lituratus	1.695	3.06496819373968	1.86328760196422	3.47184068763358
Aselliscus_stoliczkanus	0.626	2.14627742243429	1.86328760196422	3.47184068763358
Aselliscus_tricuspidatus	0.644	2.0993562087761	1.86328760196422	3.47184068763358
Brachyphylla_cavernarum	1.566	3.05292228999784	1.86328760196422	3.47184068763358
Cardioderma_cor	1.356	2.79992584642206	1.86328760196422	3.47184068763358
Carollia_perspicillata	1.301	2.71324648190518	1.86328760196422	3.47184068763358
Chalinolobus_gouldii	0.854	2.35195774032069	1.86328760196422	3.47184068763358
Chalinolobus_morio	0.797	2.24071974568802	1.86328760196422	3.47184068763358
Chiroderma_salvini	1.441	2.88624082329356	1.86328760196422	3.47184068763358
Chiroderma_trinitatum	1.236	2.70539048497075	1.86328760196422	3.47184068763358
Chiroderma_villosum	1.358	2.82351695180044	1.86328760196422	3.47184068763358
Choeroniscus_minor	1.217	2.5659450134905	1.86328760196422	3.47184068763358
Coleura_afra	0.89	2.38684133903795	1.86328760196422	3.47184068763358
Cormura_brevirostris	0.791	2.31547900333038	1.86328760196422	3.47184068763358
Craseonycteris_thonglongyai	0.38	1.91186407137902	1.86328760196422	3.47184068763358
Desmodus_rotundus	1.501	2.97496949473285	1.86328760196422	3.47184068763358
Diphylla_ecaudata	1.365	2.87975236516861	1.86328760196422	3.47184068763358
Emballonura_monticola	0.643	2.19689550326823	1.86328760196422	3.47184068763358
Emballonura_raffrayana	0.719	2.21750313113026	1.86328760196422	3.47184068763358
Eptesicus_brasiliensis	0.794	2.27704088235613	1.86328760196422	3.47184068763358
Eptesicus_fuscus_bahamensis	0.992	2.3513653086034	1.86328760196422	3.47184068763358
Eumops_auripendulus	1.258	2.75999624802448	1.86328760196422	3.47184068763358
Eumops_glaucinus	1.365	2.79101278730558	1.86328760196422	3.47184068763358
Furipterus_horrens	0.575	2.07959239815975	1.86328760196422	3.47184068763358
Glischropus_tylopus	0.394	1.97312302120491	1.86328760196422	3.47184068763358
Glossophaga_longirostris	1.23	2.6169266719764	1.86328760196422	3.47184068763358
Glossophaga_soricina	1.173	2.57354501835856	1.86328760196422	3.47184068763358
Harpiocephalus_harpia	1.236	2.62086344715862	1.86328760196422	3.47184068763358
Hesperoptenus_blanfordi	0.613	2.16984821507198	1.86328760196422	3.47184068763358
Hipposideros_armiger	1.4	2.87560056473481	1.86328760196422	3.47184068763358
Hipposideros_ater	0.802	2.30545128539469	1.86328760196422	3.47184068763358
Hipposideros_caffer	0.955	2.4627759440208	1.86328760196422	3.47184068763358
Macronycteris_commersoni	1.427	2.84697711567035	1.86328760196422	3.47184068763358
Hipposideros_diadema	1.342	2.82568898250015	1.86328760196422	3.47184068763358
Hipposideros_fulvus	0.791	2.34735841257385	1.86328760196422	3.47184068763358
Hipposideros_lankadiva	1.38	2.83381440820857	1.86328760196422	3.47184068763358
Hipposideros_larvatus	1.057	2.59070379701993	1.86328760196422	3.47184068763358
Hipposideros_ridleyi	0.906	2.40319100137588	1.86328760196422	3.47184068763358
Hipposideros_speoris	0.86	2.42782469906196	1.86328760196422	3.47184068763358
Hipposideros_turpis	1.248	2.74970813235674	1.86328760196422	3.47184068763358
Ia_io	1.425	2.85693377655639	1.86328760196422	3.47184068763358
Kerivoula_papillosa	0.919	2.47004291344843	1.86328760196422	3.47184068763358
Lasiurus_borealis	0.663	2.20786055220101	1.86328760196422	3.47184068763358
Leptonycteris_curasoae	1.364	2.76007259430502	1.86328760196422	3.47184068763358
Leptonycteris_nivalis	1.35	2.74009904764629	1.86328760196422	3.47184068763358
Lonchophylla_mordax	1.193	2.61273847911539	1.86328760196422	3.47184068763358
Hsunycteris_thomasi	1.13	2.50023862095974	1.86328760196422	3.47184068763358
Lophostoma_silvicolum	1.262	2.85331808051172	1.86328760196422	3.47184068763358
Macroderma_gigas	1.687	3.20498065502424	1.86328760196422	3.47184068763358
Macrophyllum_macrophyllum	0.965	2.4790378028068	1.86328760196422	3.47184068763358
Megaderma_lyra	1.415	2.93241161841455	1.86328760196422	3.47184068763358
Megaderma_spasma	1.336	2.78365497627165	1.86328760196422	3.47184068763358
Mesophylla_macconnelli	1.13	2.5144416036305	1.86328760196422	3.47184068763358
Micronycteris_brachyotis	1.049	2.58328686142129	1.86328760196422	3.47184068763358
Micronycteris_megalotis	0.88	2.41295245824855	1.86328760196422	3.47184068763358
Micronycteris_minuta	0.955	2.43110917339505	1.86328760196422	3.47184068763358
Micronycteris_schmidtorum	0.957	2.46261324325241	1.86328760196422	3.47184068763358
Gardnerycteris_crenulatum	0.952	2.48743694137244	1.86328760196422	3.47184068763358
Miniopterus_australis	0.781	2.28796870242141	1.86328760196422	3.47184068763358
Miniopterus_inflatus	0.971	2.48807198431177	1.86328760196422	3.47184068763358
Miniopterus_magnater	0.903	2.4849865990346	1.86328760196422	3.47184068763358
Miniopterus_pusillus	0.798	2.31097785415854	1.86328760196422	3.47184068763358
Miniopterus_tristis	0.847	2.49587912679333	1.86328760196422	3.47184068763358
Molossus_molossus	0.938	2.47483774200244	1.86328760196422	3.47184068763358
Molossus_rufus	1.164	2.69716719929339	1.86328760196422	3.47184068763358
Monophyllus_plethodon	1.185	2.62023584937206	1.86328760196422	3.47184068763358
Mormoops_megalophylla	1.025	2.56247160047249	1.86328760196422	3.47184068763358
Murina_cyclotis	0.898	2.37139315447136	1.86328760196422	3.47184068763358
Murina_huttoni	0.874	2.38592275334146	1.86328760196422	3.47184068763358
Myotis_adversus	0.865	2.3772871201093	1.86328760196422	3.47184068763358
Myotis_albescens	0.574	2.07780309246655	1.86328760196422	3.47184068763358
Myotis_annectans	0.926	2.31710569964846	1.86328760196422	3.47184068763358
Myotis_bechsteinii	0.963	2.39586985328546	1.86328760196422	3.47184068763358
Myotis_bocagii	0.754	2.25339686523018	1.86328760196422	3.47184068763358
Myotis_dasycneme	1.049	2.46431986810657	1.86328760196422	3.47184068763358
Myotis_myotis	1.236	2.65907694339085	1.86328760196422	3.47184068763358
Myotis_nigricans	0.611	2.11100026230064	1.86328760196422	3.47184068763358
Myotis_siligorensis	0.486	1.98557890358024	1.86328760196422	3.47184068763358
Natalus_tumidirostris	0.934	2.36796538095518	1.86328760196422	3.47184068763358
Noctilio_albiventris	1.114	2.74963685311494	1.86328760196422	3.47184068763358
Noctilio_leporinus	1.444	3.04342425236468	1.86328760196422	3.47184068763358
Nyctalus_noctula	1.021	2.52928534798622	1.86328760196422	3.47184068763358
Nycteris_arge	0.942	2.51972165509131	1.86328760196422	3.47184068763358
Nycteris_grandis	1.236	2.82882341601125	1.86328760196422	3.47184068763358
Nycteris_hispida	0.906	2.43216548536531	1.86328760196422	3.47184068763358
Nycteris_javanica	1.013	2.65047090615567	1.86328760196422	3.47184068763358
Nycteris_macrotis	1.017	2.56570573628551	1.86328760196422	3.47184068763358
Nycteris_thebaica	0.925	2.4880134922472	1.86328760196422	3.47184068763358
Nyctophilus_geoffroyi	0.754	2.1954325071819	1.86328760196422	3.47184068763358
Otomops_martiensseni	1.316	2.85387267955123	1.86328760196422	3.47184068763358
Peropteryx_macrotis	0.789	2.18774408447669	1.86328760196422	3.47184068763358
Phylloderma_stenops	1.708	3.10305487853701	1.86328760196422	3.47184068763358
Phyllostomus_discolor	1.593	3.01289560068157	1.86328760196422	3.47184068763358
Phyllostomus_elongatus	1.401	2.91962973558399	1.86328760196422	3.47184068763358
Phyllostomus_hastatus	1.685	3.15775224544109	1.86328760196422	3.47184068763358
Pipistrellus_javanicus	0.56	2.04743835568333	1.86328760196422	3.47184068763358
Pipistrellus_tenuis	0.476	1.94445839594312	1.86328760196422	3.47184068763358
Afronycteris_nana	0.462	1.97624949883145	1.86328760196422	3.47184068763358
Hypsugo_pulveratus	0.688	2.12583275320563	1.86328760196422	3.47184068763358
Perimyotis_subflavus	0.658	2.0689992385851	1.86328760196422	3.47184068763358
Pteronotus_gymnonotus	0.949	2.50919392843789	1.86328760196422	3.47184068763358
Pteronotus_parnellii_mesoamericanus	1.134	2.71076396835588	1.86328760196422	3.47184068763358
Pteronotus_personatus	0.783	2.33437416842607	1.86328760196422	3.47184068763358
Rhinolophus_cornutus	0.802	2.26307067478927	1.86328760196422	3.47184068763358
Rhinolophus_eloquens	1.134	2.58228368121921	1.86328760196422	3.47184068763358
Rhinolophus_hipposideros	0.739	2.14741999328989	1.86328760196422	3.47184068763358
Rhinolophus_landeri	0.904	2.41927248180996	1.86328760196422	3.47184068763358
Rhinolophus_lepidus	0.775	2.24246038366786	1.86328760196422	3.47184068763358
Rhinolophus_luctus	1.332	2.76563752486781	1.86328760196422	3.47184068763358
Rhinolophus_macrotis	0.87	2.29216841823355	1.86328760196422	3.47184068763358
Rhinolophus_malayanus	0.772	2.28065583157794	1.86328760196422	3.47184068763358
Rhinolophus_megaphyllus	0.943	2.39284327871508	1.86328760196422	3.47184068763358
Rhinolophus_pearsonii	1.064	2.49680535567541	1.86328760196422	3.47184068763358
Rhinolophus_pusillus	0.719	2.19036275728536	1.86328760196422	3.47184068763358
Rhinolophus_trifoliatus	1.033	2.51948592306197	1.86328760196422	3.47184068763358
Rhinolophus_yunnanensis	1.21	2.61598611233896	1.86328760196422	3.47184068763358
Rhinonicteris_aurantia	0.864	2.36980993185743	1.86328760196422	3.47184068763358
Rhinophylla_pumilio	1.104	2.52389337701925	1.86328760196422	3.47184068763358
Rhinopoma_hardwickii	0.986	2.41517493551946	1.86328760196422	3.47184068763358
Rhinopoma_microphyllum	1.143	2.56167523073907	1.86328760196422	3.47184068763358
Rhogeessa_parvula	0.537	2.02540404611476	1.86328760196422	3.47184068763358
Rhynchonycteris_naso	0.479	2.04732050651951	1.86328760196422	3.47184068763358
Saccopteryx_bilineata	0.952	2.33483311530367	1.86328760196422	3.47184068763358
Saccopteryx_canescens	0.611	2.08934484317686	1.86328760196422	3.47184068763358
Saccopteryx_leptura	0.692	2.18322541361085	1.86328760196422	3.47184068763358
Scotomanes_ornatus	1.124	2.55494722650546	1.86328760196422	3.47184068763358
Scotophilus_dinganii	1.1	2.6152095371468	1.86328760196422	3.47184068763358
Scotophilus_kuhlii	0.989	2.50605597481635	1.86328760196422	3.47184068763358
Sphaeronycteris_toxophyllum	1.312	2.69540272673135	1.86328760196422	3.47184068763358
Sturnira_lilium	1.365	2.7664442150746	1.86328760196422	3.47184068763358
Sturnira_ludovici	1.386	2.79971581818209	1.86328760196422	3.47184068763358
Sturnira_tildae	1.444	2.82056767486967	1.86328760196422	3.47184068763358
Tadarida_aegyptiaca	1.134	2.56759514736225	1.86328760196422	3.47184068763358
Taphozous_australis	1.246	2.68911434548403	1.86328760196422	3.47184068763358
Taphozous_hildegardeae	1.204	2.71134274302204	1.86328760196422	3.47184068763358
Taphozous_mauritianus	1.255	2.71797961523504	1.86328760196422	3.47184068763358
Taphozous_melanopogon	1.21	2.70480831622297	1.86328760196422	3.47184068763358
Tonatia_bidens	1.35	2.87212442061372	1.86328760196422	3.47184068763358
Lophostoma_schulzi	1.004	2.67681030271887	1.86328760196422	3.47184068763358
Trachops_cirrhosus	1.453	2.97719852358353	1.86328760196422	3.47184068763358
Triaenops_persicus	0.823	2.41026109600416	1.86328760196422	3.47184068763358
Tylonycteris_pachypus	0.36	1.87843900376487	1.86328760196422	3.47184068763358
Tylonycteris_robustula	0.556	2.03440793493338	1.86328760196422	3.47184068763358
Uroderma_bilobatum	1.453	2.76341624316696	1.86328760196422	3.47184068763358
Vampyressa_pusilla	1.173	2.55572901399533	1.86328760196422	3.47184068763358
Vampyrum_spectrum	1.816	3.38883839645361	1.86328760196422	3.47184068763358
Alouatta_seniculus	2.708	4.69064476860801	1.86328760196422	3.47184068763358
Aotus_trivirgatus	2.386	4.20956514451613	1.86328760196422	3.47184068763358
Ateles_geoffroyi	2.865	5.00423671459412	1.86328760196422	3.47184068763358
Avahi_laniger	2.382	3.99079117597203	1.86328760196422	3.47184068763358
Plecturocebus_moloch	2.369	4.24999973790912	1.86328760196422	3.47184068763358
Callimico_goeldii	2.14	4.02141427425862	1.86328760196422	3.47184068763358
Callithrix_jacchus	1.954	3.86010428447601	1.86328760196422	3.47184068763358
Cebuella_pygmaea	1.913	3.63358773263483	1.86328760196422	3.47184068763358
Cebus_albifrons	2.591	4.8258408678735	1.86328760196422	3.47184068763358
Cercopithecus_ascanius	2.841	4.80297404128273	1.86328760196422	3.47184068763358
Cercopithecus_mitis_mitis	2.79	4.84835244065239	1.86328760196422	3.47184068763358
Cheirogaleus_major	2.173	3.80396492768725	1.86328760196422	3.47184068763358
Cheirogaleus_medius	1.815	3.4708780230274	1.86328760196422	3.47184068763358
Daubentonia_madagascariensis	3.019	4.6294722319675	1.86328760196422	3.47184068763358
Erythrocebus_patas	2.841	5.01330305301563	1.86328760196422	3.47184068763358
Eulemur_fulvus_fulvus	2.625	4.34468914865517	1.86328760196422	3.47184068763358
Galago_senegalensis	2.029	3.65384583826705	1.86328760196422	3.47184068763358
Galagoides_demidoff	1.777	3.50526524207999	1.86328760196422	3.47184068763358
Gorilla_gorilla	3.436	5.67214160105073	1.86328760196422	3.47184068763358
Homo_sapiens	3.788	6.09769523952942	1.86328760196422	3.47184068763358
Hylobates_lar	3.055	4.98887970833346	1.86328760196422	3.47184068763358
Indri_indri	2.928	4.55944787748954	1.86328760196422	3.47184068763358
Lagothrix_lagotricha	2.833	4.980177796679	1.86328760196422	3.47184068763358
Lepilemur_mustelinus	2.288	3.85550540645094	1.86328760196422	3.47184068763358
Lophocebus_albigena	2.799	4.9893093148895	1.86328760196422	3.47184068763358
Loris_tardigradus_tardigradus	1.999	3.79701647977618	1.86328760196422	3.47184068763358
Macaca_mulatta	2.806	4.94427327976376	1.86328760196422	3.47184068763358
Microcebus_murinus	1.603	3.22499777943092	1.86328760196422	3.47184068763358
Miopithecus_talapoin	2.413	4.57720824492106	1.86328760196422	3.47184068763358
Nasalis_larvatus	2.932	4.97211427746941	1.86328760196422	3.47184068763358
Nycticebus_coucang	2.326	4.07016900764897	1.86328760196422	3.47184068763358
Otolemur_crassicaudatus	2.258	3.98509131950917	1.86328760196422	3.47184068763358
Pan_troglodytes	3.305	5.58232825551133	1.86328760196422	3.47184068763358
Papio_cynocephalus	3.117	5.28121407692444	1.86328760196422	3.47184068763358
Perodicticus_potto	2.516	4.12079897970986	1.86328760196422	3.47184068763358
Pithecia_monachus	2.461	4.51688705271499	1.86328760196422	3.47184068763358
Piliocolobus_badius	2.911	4.86832778778568	1.86328760196422	3.47184068763358
Propithecus_verreauxi	2.646	4.40135338583513	1.86328760196422	3.47184068763358
Pygathrix_nemaeus	2.859	4.86047259819674	1.86328760196422	3.47184068763358
Saguinus_midas	2.079	3.98108200720884	1.86328760196422	3.47184068763358
Saguinus_oedipus	2.029	3.97903342592802	1.86328760196422	3.47184068763358
Saimiri_sciureus_sciureus	2.225	4.35321967494396	1.86328760196422	3.47184068763358
Tarsius_tarsier	1.839	3.53020840861181	1.86328760196422	3.47184068763358
Varecia_variegata	2.784	4.47260429620756	1.86328760196422	3.47184068763358
