Species_TTOL	MED	rest_of_brain	BOD
Anourosorex_squamipes	1.644	2.5613393948666	1.86328760196422
Atelerix_algirus	2.535	3.45937494595256	1.86328760196422
Blarina_brevicauda	1.633	2.56526016953364	1.86328760196422
Chrysochloris_asiatica	1.767	2.8124927980164	1.86328760196422
Chrysochloris_stuhlmanni	1.833	2.83356529108882	1.86328760196422
Crocidura_attenuata	1.511	2.29369840905507	1.86328760196422
Crocidura_flavescens	1.777	2.58207746336137	1.86328760196422
Crocidura_hildegardeae	1.497	2.30064063157812	1.86328760196422
Crocidura_denti	1.626	2.36479451634544	1.86328760196422
Crocidura_russula	1.458	2.26471093422473	1.86328760196422
Crocidura_suaveolens	1.431	2.25063238800831	1.86328760196422
Cryptotis_parvus	1.479	2.36248471949945	1.86328760196422
Desmana_moschata	2.605	3.55635615102067	1.86328760196422
Echinops_telfairi	1.956	2.74834886210844	1.86328760196422
Echinosorex_gymnura	2.794	3.7443098228403	1.86328760196422
Erinaceus_europaeus	2.525	3.47896517613914	1.86328760196422
Euroscaptor_micrura	1.887	2.88161190363473	1.86328760196422
Galemys_pyrenaicus	2.168	3.0873915761491	1.86328760196422
Geogale_aurita	1.531	2.08153227068238	1.86328760196422
Hemicentetes_semispinosus	2.068	2.87971667978679	1.86328760196422
Hemiechinus_auritus	2.268	3.22302557506589	1.86328760196422
Hylomys_suillus	2.098	3.04265473490601	1.86328760196422
Limnogale_mergulus	2.309	3.01708868959485	1.86328760196422
Microgale_dobsoni	1.769	2.70344201843958	1.86328760196422
Microgale_talazaci	1.924	2.85130596152045	1.86328760196422
Micropotamogale_lamottei	2.13	2.86835860528116	1.86328760196422
Micropotamogale_ruwenzorii	2.297	3.0239960099372	1.86328760196422
Myosorex_sclateri	1.665	2.52863027572128	1.86328760196422
Neomys_anomalus	1.534	2.4253493121911	1.86328760196422
Neomys_fodiens	1.656	2.4844525337294	1.86328760196422
Oryzorictes_hova	1.785	2.72555444984195	1.86328760196422
Parascalops_breweri	1.873	2.9176407015745	1.86328760196422
Potamogale_velox	2.859	3.58573403914356	1.86328760196422
Ruwenzorisorex_suncoides	1.74	2.54319142403048	1.86328760196422
Scalopus_aquaticus	2.074	3.09133564705225	1.86328760196422
Scutisorex_somereni	1.919	2.77648055519446	1.86328760196422
Setifer_setosus	2.257	3.13780347988815	1.86328760196422
Solenodon_paradoxus	2.674	3.63091110993978	1.86328760196422
Sorex_alpinus	1.496	2.39429748323639	1.86328760196422
Sorex_araneus	1.464	2.30376222600923	1.86328760196422
Sorex_cinereus	1.236	2.19894571979351	1.86328760196422
Sorex_fumeus	1.354	2.35557876339451	1.86328760196422
Sorex_hoyi	1.037	1.95473569737117	1.86328760196422
Sorex_minutus	1.176	2.03191366086741	1.86328760196422
Suncus_etruscus	1.045	1.76381793243763	1.86328760196422
Suncus_murinus	1.736	2.54992986543294	1.86328760196422
Sylvisorex_granti	1.332	2.19026550669	1.86328760196422
Suncus_megalura	1.428	2.24721153694055	1.86328760196422
Talpa_europaea	1.981	2.9763963558453	1.86328760196422
Tenrec_ecaudatus	2.499	3.35823796436117	1.86328760196422
Aepyprymnus_rufescens	3.004321	4.0785367274352	1.86328760196422
Antechinus_flavipes	1.965672	2.78774994860876	1.86328760196422
Antechinus_minimus	2.0103	2.86153430048589	1.86328760196422
