Species_TTOL	PAL	rest_of_brain	BOD
Perimyotis_subflavus	0.757	3.0789623596587	0.724
Pteronotus_gymnonotus	1.049	3.0789623596587	1.134
Pteronotus_parnellii_mesoamericanus	1.348	3.0789623596587	1.305
Pteronotus_personatus	0.94	3.0789623596587	0.908
Rhinolophus_cornutus	0.768	3.0789623596587	0.82
Rhinolophus_eloquens	1.199	3.0789623596587	1.281
Rhinolophus_hipposideros	0.737	3.0789623596587	0.663
Rhinolophus_landeri	1	3.0789623596587	0.987
Rhinolophus_lepidus	0.895	3.0789623596587	0.778
Rhinolophus_luctus	1.223	3.0789623596587	1.516
Rhinolophus_macrotis	0.862	3.0789623596587	0.799
Rhinolophus_malayanus	0.862	3.0789623596587	0.806
Rhinolophus_megaphyllus	0.938	3.0789623596587	0.991
Rhinolophus_pearsonii	1.004	3.0789623596587	1.143
Rhinolophus_pusillus	0.801	3.0789623596587	0.672
Rhinolophus_trifoliatus	0.981	3.0789623596587	1.164
Rhinolophus_yunnanensis	1.161	3.0789623596587	1.371
Rhinonicteris_aurantia	0.886	3.0789623596587	0.934
Rhinophylla_pumilio	1.34	3.0789623596587	0.949
Rhinopoma_hardwickii	1.033	3.0789623596587	1.111
Rhinopoma_microphyllum	1.228	3.0789623596587	1.468
Rhogeessa_parvula	0.69	3.0789623596587	0.653
Rhynchonycteris_naso	0.559	3.0789623596587	0.58
Saccopteryx_bilineata	0.877	3.0789623596587	0.924
Saccopteryx_canescens	0.569	3.0789623596587	0.531
Saccopteryx_leptura	0.704	3.0789623596587	0.708
Scotomanes_ornatus	1.201	3.0789623596587	1.338
Scotophilus_dinganii	1.185	3.0789623596587	1.386
Scotophilus_kuhlii	1.057	3.0789623596587	1.31
Sphaeronycteris_toxophyllum	1.382	3.0789623596587	1.265
Sturnira_lilium	1.579	3.0789623596587	1.305
Sturnira_ludovici	1.571	3.0789623596587	1.413
Sturnira_tildae	1.614	3.0789623596587	1.387
Tadarida_aegyptiaca	1.207	3.0789623596587	1.248
Taphozous_australis	1.21	3.0789623596587	1.38
Taphozous_hildegardeae	1.303	3.0789623596587	1.438
Taphozous_mauritianus	1.25	3.0789623596587	1.462
Taphozous_melanopogon	1.307	3.0789623596587	1.356
Tonatia_bidens	1.623	3.0789623596587	1.468
Lophostoma_schulzi	1.155	3.0789623596587	1.328
Trachops_cirrhosus	1.556	3.0789623596587	1.567
Triaenops_persicus	0.863	3.0789623596587	1.137
Tylonycteris_pachypus	0.524	3.0789623596587	0.681
Tylonycteris_robustula	0.663	3.0789623596587	0.857
Uroderma_bilobatum	1.505	3.0789623596587	1.21
Vampyressa_pusilla	1.294	3.0789623596587	0.934
Vampyrum_spectrum	2.084	3.0789623596587	2.238
Alouatta_seniculus	2.605	3.0789623596587	3.806
Aotus_trivirgatus	2.301	3.0789623596587	2.919
Ateles_geoffroyi	2.879	3.0789623596587	3.903
Avahi_laniger	2.222	3.0789623596587	3.109
Plecturocebus_moloch	2.301	3.0789623596587	2.954
Callimico_goeldii	2.025	3.0789623596587	2.681
Callithrix_jacchus	1.928	3.0789623596587	2.447
Cebuella_pygmaea	1.761	3.0789623596587	2.146
Cebus_albifrons	2.675	3.0789623596587	3.491
Cercopithecus_ascanius	2.68	3.0789623596587	3.531
Cercopithecus_mitis_mitis	2.748	3.0789623596587	3.799
Cheirogaleus_major	2.361	3.0789623596587	2.653
Cheirogaleus_medius	2.125	3.0789623596587	2.248
Daubentonia_madagascariensis	3.024	3.0789623596587	3.447
Erythrocebus_patas	2.814	3.0789623596587	3.892
Eulemur_fulvus_fulvus	2.58	3.0789623596587	3.146
Galago_senegalensis	1.953	3.0789623596587	2.27
Galagoides_demidoff	2.091	3.0789623596587	1.908
Gorilla_gorilla	3.327	3.0789623596587	5.021
Homo_sapiens	3.779	3.0789623596587	4.813
Hylobates_lar	2.777	3.0789623596587	3.756
Indri_indri	2.643	3.0789623596587	3.796
Lagothrix_lagotricha	2.808	3.0789623596587	3.716
Lepilemur_mustelinus	2.225	3.0789623596587	2.961
Lophocebus_albigena	2.934	3.0789623596587	3.898
Loris_tardigradus_tardigradus	2.181	3.0789623596587	2.508
Macaca_mulatta	2.733	3.0789623596587	3.892
Microcebus_murinus	1.823	3.0789623596587	1.732
Miopithecus_talapoin	2.467	3.0789623596587	3.079
Nasalis_larvatus	2.739	3.0789623596587	4.146
Nycticebus_coucang	2.507	3.0789623596587	2.903
Otolemur_crassicaudatus	2.376	3.0789623596587	2.929
Pan_troglodytes	3.122	3.0789623596587	4.663
Papio_cynocephalus	3.063	3.0789623596587	4.398
Perodicticus_potto	2.661	3.0789623596587	3.061
Pithecia_monachus	2.49	3.0789623596587	3.176
Piliocolobus_badius	2.64	3.0789623596587	3.845
Propithecus_verreauxi	2.558	3.0789623596587	3.542
Pygathrix_nemaeus	2.656	3.0789623596587	3.875
Saguinus_midas	1.993	3.0789623596587	2.531
Saguinus_oedipus	2.057	3.0789623596587	2.58
Saimiri_sciureus_sciureus	2.231	3.0789623596587	2.82
Tarsius_tarsier	1.594	3.0789623596587	2.097
Varecia_variegata	2.789	3.0789623596587	3.477
