Species_TTOL	DIE	rest_of_brain	rest_of_brain2	BOD
Lasiurus_borealis	1.097	3.0789623596587	9.48000921219507	0.892
Leptonycteris_curasoae	1.643	3.0789623596587	9.48000921219507	1.389
Leptonycteris_nivalis	1.636	3.0789623596587	9.48000921219507	1.358
Lonchophylla_mordax	1.517	3.0789623596587	9.48000921219507	1.029
Hsunycteris_thomasi	1.373	3.0789623596587	9.48000921219507	0.839
Lophostoma_silvicolum	1.743	3.0789623596587	9.48000921219507	1.509
Macroderma_gigas	2.139	3.0789623596587	9.48000921219507	2.078
Macrophyllum_macrophyllum	1.384	3.0789623596587	9.48000921219507	0.934
Megaderma_lyra	1.863	3.0789623596587	9.48000921219507	1.587
Megaderma_spasma	1.679	3.0789623596587	9.48000921219507	1.354
Mesophylla_macconnelli	1.389	3.0789623596587	9.48000921219507	0.875
Micronycteris_brachyotis	1.444	3.0789623596587	9.48000921219507	1.167
Micronycteris_megalotis	1.297	3.0789623596587	9.48000921219507	0.813
Micronycteris_minuta	1.255	3.0789623596587	9.48000921219507	0.839
Micronycteris_schmidtorum	1.324	3.0789623596587	9.48000921219507	0.892
Gardnerycteris_crenulatum	1.415	3.0789623596587	9.48000921219507	1.072
Miniopterus_australis	1.164	3.0789623596587	9.48000921219507	0.851
Miniopterus_inflatus	1.34	3.0789623596587	9.48000921219507	1.173
Miniopterus_magnater	1.338	3.0789623596587	9.48000921219507	1.176
Miniopterus_pusillus	1.199	3.0789623596587	9.48000921219507	0.934
Miniopterus_tristis	1.364	3.0789623596587	9.48000921219507	1.193
Molossus_molossus	1.371	3.0789623596587	9.48000921219507	1.137
Molossus_rufus	1.611	3.0789623596587	9.48000921219507	1.526
Monophyllus_plethodon	1.501	3.0789623596587	9.48000921219507	1.176
Mormoops_megalophylla	1.387	3.0789623596587	9.48000921219507	1.196
Murina_cyclotis	1.262	3.0789623596587	9.48000921219507	0.851
Murina_huttoni	1.276	3.0789623596587	9.48000921219507	0.944
Myotis_adversus	1.299	3.0789623596587	9.48000921219507	1.049
Myotis_albescens	1	3.0789623596587	9.48000921219507	0.602
Myotis_annectans	1.253	3.0789623596587	9.48000921219507	0.991
Myotis_bechsteinii	1.354	3.0789623596587	9.48000921219507	0.978
Myotis_bocagii	1.199	3.0789623596587	9.48000921219507	0.845
Myotis_dasycneme	1.422	3.0789623596587	9.48000921219507	1.176
Myotis_myotis	1.604	3.0789623596587	9.48000921219507	1.408
Myotis_nigricans	1	3.0789623596587	9.48000921219507	0.663
Myotis_siligorensis	0.94	3.0789623596587	9.48000921219507	0.539
Natalus_tumidirostris	1.262	3.0789623596587	9.48000921219507	0.839
Noctilio_albiventris	1.665	3.0789623596587	9.48000921219507	1.515
Noctilio_leporinus	1.947	3.0789623596587	9.48000921219507	1.763
Nyctalus_noctula	1.405	3.0789623596587	9.48000921219507	1.431
Nycteris_arge	1.403	3.0789623596587	9.48000921219507	1.025
Nycteris_grandis	1.726	3.0789623596587	9.48000921219507	1.474
Nycteris_hispida	1.318	3.0789623596587	9.48000921219507	0.892
Nycteris_javanica	1.56	3.0789623596587	9.48000921219507	1.265
Nycteris_macrotis	1.484	3.0789623596587	9.48000921219507	1.161
Nycteris_thebaica	1.391	3.0789623596587	9.48000921219507	0.949
Nyctophilus_geoffroyi	1.1	3.0789623596587	9.48000921219507	0.857
Otomops_martiensseni	1.728	3.0789623596587	9.48000921219507	1.618
Peropteryx_macrotis	1.111	3.0789623596587	9.48000921219507	0.748
Phylloderma_stenops	1.953	3.0789623596587	9.48000921219507	1.664
Phyllostomus_discolor	1.916	3.0789623596587	9.48000921219507	1.563
Phyllostomus_elongatus	1.81	3.0789623596587	9.48000921219507	1.652
Phyllostomus_hastatus	2.045	3.0789623596587	9.48000921219507	1.963
Pipistrellus_javanicus	0.973	3.0789623596587	9.48000921219507	0.653
Pipistrellus_tenuis	0.881	3.0789623596587	9.48000921219507	0.591
Afronycteris_nana	0.898	3.0789623596587	9.48000921219507	0.591
Hypsugo_pulveratus	1.064	3.0789623596587	9.48000921219507	0.724
Perimyotis_subflavus	1.017	3.0789623596587	9.48000921219507	0.724
Pteronotus_gymnonotus	1.36	3.0789623596587	9.48000921219507	1.134
Pteronotus_parnellii_mesoamericanus	1.573	3.0789623596587	9.48000921219507	1.305
Pteronotus_personatus	1.193	3.0789623596587	9.48000921219507	0.908
Rhinolophus_cornutus	1.149	3.0789623596587	9.48000921219507	0.82
Rhinolophus_eloquens	1.476	3.0789623596587	9.48000921219507	1.281
Rhinolophus_hipposideros	1.093	3.0789623596587	9.48000921219507	0.663
Rhinolophus_landeri	1.324	3.0789623596587	9.48000921219507	0.987
Rhinolophus_lepidus	1.149	3.0789623596587	9.48000921219507	0.778
Rhinolophus_luctus	1.667	3.0789623596587	9.48000921219507	1.516
Rhinolophus_macrotis	1.173	3.0789623596587	9.48000921219507	0.799
Rhinolophus_malayanus	1.167	3.0789623596587	9.48000921219507	0.806
Rhinolophus_megaphyllus	1.253	3.0789623596587	9.48000921219507	0.991
Rhinolophus_pearsonii	1.407	3.0789623596587	9.48000921219507	1.143
Rhinolophus_pusillus	1.093	3.0789623596587	9.48000921219507	0.672
Rhinolophus_trifoliatus	1.449	3.0789623596587	9.48000921219507	1.164
Rhinolophus_yunnanensis	1.516	3.0789623596587	9.48000921219507	1.371
Rhinonicteris_aurantia	1.248	3.0789623596587	9.48000921219507	0.934
Rhinophylla_pumilio	1.375	3.0789623596587	9.48000921219507	0.949
Rhinopoma_hardwickii	1.391	3.0789623596587	9.48000921219507	1.111
Rhinopoma_microphyllum	1.507	3.0789623596587	9.48000921219507	1.468
Rhogeessa_parvula	0.968	3.0789623596587	9.48000921219507	0.653
Rhynchonycteris_naso	0.973	3.0789623596587	9.48000921219507	0.58
Saccopteryx_bilineata	1.27	3.0789623596587	9.48000921219507	0.924
Saccopteryx_canescens	1.041	3.0789623596587	9.48000921219507	0.531
Saccopteryx_leptura	1.124	3.0789623596587	9.48000921219507	0.708
Scotomanes_ornatus	1.519	3.0789623596587	9.48000921219507	1.338
Scotophilus_dinganii	1.544	3.0789623596587	9.48000921219507	1.386
Scotophilus_kuhlii	1.458	3.0789623596587	9.48000921219507	1.31
Sphaeronycteris_toxophyllum	1.615	3.0789623596587	9.48000921219507	1.265
Sturnira_lilium	1.657	3.0789623596587	9.48000921219507	1.305
Sturnira_ludovici	1.702	3.0789623596587	9.48000921219507	1.413
Sturnira_tildae	1.703	3.0789623596587	9.48000921219507	1.387
Tadarida_aegyptiaca	1.483	3.0789623596587	9.48000921219507	1.248
Taphozous_australis	1.566	3.0789623596587	9.48000921219507	1.38
Taphozous_hildegardeae	1.579	3.0789623596587	9.48000921219507	1.438
Taphozous_mauritianus	1.626	3.0789623596587	9.48000921219507	1.462
Taphozous_melanopogon	1.583	3.0789623596587	9.48000921219507	1.356
Tonatia_bidens	1.73	3.0789623596587	9.48000921219507	1.468
Lophostoma_schulzi	1.568	3.0789623596587	9.48000921219507	1.328
Trachops_cirrhosus	1.829	3.0789623596587	9.48000921219507	1.567
Triaenops_persicus	1.25	3.0789623596587	9.48000921219507	1.137
Tylonycteris_pachypus	0.826	3.0789623596587	9.48000921219507	0.681
Tylonycteris_robustula	0.964	3.0789623596587	9.48000921219507	0.857
Uroderma_bilobatum	1.635	3.0789623596587	9.48000921219507	1.21
Vampyressa_pusilla	1.431	3.0789623596587	9.48000921219507	0.934
Vampyrum_spectrum	2.294	3.0789623596587	9.48000921219507	2.238
Alouatta_seniculus	3.524	3.0789623596587	9.48000921219507	3.806
Aotus_trivirgatus	3.041	3.0789623596587	9.48000921219507	2.919
Ateles_geoffroyi	3.727	3.0789623596587	9.48000921219507	3.903
Avahi_laniger	2.936	3.0789623596587	9.48000921219507	3.109
Plecturocebus_moloch	3.138	3.0789623596587	9.48000921219507	2.954
Callimico_goeldii	2.869	3.0789623596587	9.48000921219507	2.681
Callithrix_jacchus	2.744	3.0789623596587	9.48000921219507	2.447
Cebuella_pygmaea	2.534	3.0789623596587	9.48000921219507	2.146
Cebus_albifrons	3.602	3.0789623596587	9.48000921219507	3.491
Cercopithecus_ascanius	3.557	3.0789623596587	9.48000921219507	3.531
Cercopithecus_mitis_mitis	3.621	3.0789623596587	9.48000921219507	3.799
Cheirogaleus_major	2.689	3.0789623596587	9.48000921219507	2.653
Cheirogaleus_medius	2.371	3.0789623596587	9.48000921219507	2.248
Daubentonia_madagascariensis	3.549	3.0789623596587	9.48000921219507	3.447
Erythrocebus_patas	3.734	3.0789623596587	9.48000921219507	3.892
Eulemur_fulvus_fulvus	3.234	3.0789623596587	9.48000921219507	3.146
Galago_senegalensis	2.582	3.0789623596587	9.48000921219507	2.27
Galagoides_demidoff	2.391	3.0789623596587	9.48000921219507	1.908
Gorilla_gorilla	4.287	3.0789623596587	9.48000921219507	5.021
Homo_sapiens	4.523	3.0789623596587	9.48000921219507	4.813
Hylobates_lar	3.757	3.0789623596587	9.48000921219507	3.756
Indri_indri	3.464	3.0789623596587	9.48000921219507	3.796
Lagothrix_lagotricha	3.757	3.0789623596587	9.48000921219507	3.716
Lepilemur_mustelinus	2.773	3.0789623596587	9.48000921219507	2.961
Lophocebus_albigena	3.728	3.0789623596587	9.48000921219507	3.898
Loris_tardigradus_tardigradus	2.731	3.0789623596587	9.48000921219507	2.508
Macaca_mulatta	3.651	3.0789623596587	9.48000921219507	3.892
Microcebus_murinus	2.127	3.0789623596587	9.48000921219507	1.732
Miopithecus_talapoin	3.376	3.0789623596587	9.48000921219507	3.079
Nasalis_larvatus	3.725	3.0789623596587	9.48000921219507	4.146
Nycticebus_coucang	3.032	3.0789623596587	9.48000921219507	2.903
Otolemur_crassicaudatus	2.895	3.0789623596587	9.48000921219507	2.929
Pan_troglodytes	4.187	3.0789623596587	9.48000921219507	4.663
Papio_cynocephalus	3.968	3.0789623596587	9.48000921219507	4.398
Perodicticus_potto	3.01	3.0789623596587	9.48000921219507	3.061
Pithecia_monachus	3.359	3.0789623596587	9.48000921219507	3.176
Piliocolobus_badius	3.596	3.0789623596587	9.48000921219507	3.845
Propithecus_verreauxi	3.341	3.0789623596587	9.48000921219507	3.542
Pygathrix_nemaeus	3.675	3.0789623596587	9.48000921219507	3.875
Saguinus_midas	2.84	3.0789623596587	9.48000921219507	2.531
Saguinus_oedipus	2.877	3.0789623596587	9.48000921219507	2.58
Saimiri_sciureus_sciureus	3.155	3.0789623596587	9.48000921219507	2.82
Tarsius_tarsier	2.481	3.0789623596587	9.48000921219507	2.097
Varecia_variegata	3.403	3.0789623596587	9.48000921219507	3.477
