Species_TTOL	MED	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Lophocebus_albigena	3.433	3.898	0	0	1	0	0	0	0	3.898	0	0
Loris_tardigradus_tardigradus	2.367	2.508	0	0	1	0	0	0	0	2.508	0	0
Macaca_mulatta	3.299	3.892	0	0	1	0	0	0	0	3.892	0	0
Microcebus_murinus	1.996	1.732	0	0	1	0	0	0	0	1.732	0	0
Miopithecus_talapoin	3.015	3.079	0	0	1	0	0	0	0	3.079	0	0
Nasalis_larvatus	3.469	4.146	0	0	1	0	0	0	0	4.146	0	0
Nycticebus_coucang	2.723	2.903	0	0	1	0	0	0	0	2.903	0	0
Otolemur_crassicaudatus	2.732	2.929	0	0	1	0	0	0	0	2.929	0	0
Pan_troglodytes	3.765	4.663	0	0	1	0	0	0	0	4.663	0	0
Papio_cynocephalus	3.724	4.398	0	0	1	0	0	0	0	4.398	0	0
Perodicticus_potto	2.833	3.061	0	0	1	0	0	0	0	3.061	0	0
Pithecia_monachus	3.004	3.176	0	0	1	0	0	0	0	3.176	0	0
Piliocolobus_badius	3.303	3.845	0	0	1	0	0	0	0	3.845	0	0
Propithecus_verreauxi	3.087	3.542	0	0	1	0	0	0	0	3.542	0	0
Pygathrix_nemaeus	3.344	3.875	0	0	1	0	0	0	0	3.875	0	0
Saguinus_midas	2.631	2.531	0	0	1	0	0	0	0	2.531	0	0
Saguinus_oedipus	2.616	2.58	0	0	1	0	0	0	0	2.58	0	0
Saimiri_sciureus_sciureus	2.859	2.82	0	0	1	0	0	0	0	2.82	0	0
Tarsius_tarsier	2.316	2.097	0	0	1	0	0	0	0	2.097	0	0
Varecia_variegata	3.152	3.477	0	0	1	0	0	0	0	3.477	0	0
