Species_TTOL	PAL	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Lophocebus_albigena	2.934	3.898	0	0	1	0	0	0	0	3.898	0	0
Loris_tardigradus_tardigradus	2.181	2.508	0	0	1	0	0	0	0	2.508	0	0
Macaca_mulatta	2.733	3.892	0	0	1	0	0	0	0	3.892	0	0
Microcebus_murinus	1.823	1.732	0	0	1	0	0	0	0	1.732	0	0
Miopithecus_talapoin	2.467	3.079	0	0	1	0	0	0	0	3.079	0	0
Nasalis_larvatus	2.739	4.146	0	0	1	0	0	0	0	4.146	0	0
Nycticebus_coucang	2.507	2.903	0	0	1	0	0	0	0	2.903	0	0
Otolemur_crassicaudatus	2.376	2.929	0	0	1	0	0	0	0	2.929	0	0
Pan_troglodytes	3.122	4.663	0	0	1	0	0	0	0	4.663	0	0
Papio_cynocephalus	3.063	4.398	0	0	1	0	0	0	0	4.398	0	0
Perodicticus_potto	2.661	3.061	0	0	1	0	0	0	0	3.061	0	0
Pithecia_monachus	2.49	3.176	0	0	1	0	0	0	0	3.176	0	0
Piliocolobus_badius	2.64	3.845	0	0	1	0	0	0	0	3.845	0	0
Propithecus_verreauxi	2.558	3.542	0	0	1	0	0	0	0	3.542	0	0
Pygathrix_nemaeus	2.656	3.875	0	0	1	0	0	0	0	3.875	0	0
Saguinus_midas	1.993	2.531	0	0	1	0	0	0	0	2.531	0	0
Saguinus_oedipus	2.057	2.58	0	0	1	0	0	0	0	2.58	0	0
Saimiri_sciureus_sciureus	2.231	2.82	0	0	1	0	0	0	0	2.82	0	0
Tarsius_tarsier	1.594	2.097	0	0	1	0	0	0	0	2.097	0	0
Varecia_variegata	2.789	3.477	0	0	1	0	0	0	0	3.477	0	0
