Species_TTOL	AMY	rest_of_brain
Aselliscus_stoliczkanus	0.705	2.14627742243429
Aselliscus_tricuspidatus	0.742	2.0993562087761
Brachyphylla_cavernarum	1.529	3.05292228999784
Cardioderma_cor	1.382	2.79992584642206
Carollia_perspicillata	1.207	2.71324648190518
Chalinolobus_gouldii	1.041	2.35195774032069
Chalinolobus_morio	0.805	2.24071974568802
Chiroderma_salvini	1.382	2.88624082329356
Chiroderma_trinitatum	1.201	2.70539048497075
Chiroderma_villosum	1.314	2.82351695180044
Choeroniscus_minor	1.057	2.5659450134905
Coleura_afra	1.14	2.38684133903795
Cormura_brevirostris	1.111	2.31547900333038
Craseonycteris_thonglongyai	0.637	1.91186407137902
Desmodus_rotundus	1.483	2.97496949473285
Diphylla_ecaudata	1.334	2.87975236516861
Emballonura_monticola	0.981	2.19689550326823
Emballonura_raffrayana	0.908	2.21750313113026
Eptesicus_brasiliensis	1.004	2.27704088235613
Eptesicus_fuscus_bahamensis	0.966	2.3513653086034
Eumops_auripendulus	1.441	2.75999624802448
Eumops_glaucinus	1.398	2.79101278730558
Furipterus_horrens	0.667	2.07959239815975
Glischropus_tylopus	0.733	1.97312302120491
Glossophaga_longirostris	1.097	2.6169266719764
Glossophaga_soricina	1.079	2.57354501835856
Harpiocephalus_harpia	1.241	2.62086344715862
Hesperoptenus_blanfordi	0.938	2.16984821507198
Hipposideros_armiger	1.491	2.87560056473481
Hipposideros_ater	0.888	2.30545128539469
Hipposideros_caffer	1.064	2.4627759440208
Macronycteris_commersoni	1.439	2.84697711567035
Hipposideros_diadema	1.481	2.82568898250015
Hipposideros_fulvus	0.987	2.34735841257385
Hipposideros_lankadiva	1.444	2.83381440820857
Hipposideros_larvatus	1.272	2.59070379701993
Hipposideros_ridleyi	1.017	2.40319100137588
Hipposideros_speoris	1.076	2.42782469906196
Hipposideros_turpis	1.34	2.74970813235674
Ia_io	1.567	2.85693377655639
Kerivoula_papillosa	1.017	2.47004291344843
Lasiurus_borealis	0.797	2.20786055220101
Leptonycteris_curasoae	1.233	2.76007259430502
Leptonycteris_nivalis	1.258	2.74009904764629
Lonchophylla_mordax	1.114	2.61273847911539
Hsunycteris_thomasi	1.021	2.50023862095974
Lophostoma_silvicolum	1.326	2.85331808051172
Macroderma_gigas	1.702	3.20498065502424
Macrophyllum_macrophyllum	1.021	2.4790378028068
Megaderma_lyra	1.49	2.93241161841455
Megaderma_spasma	1.342	2.78365497627165
Mesophylla_macconnelli	0.951	2.5144416036305
Micronycteris_brachyotis	1.146	2.58328686142129
Micronycteris_megalotis	1.049	2.41295245824855
Micronycteris_minuta	1.021	2.43110917339505
Micronycteris_schmidtorum	1.079	2.46261324325241
Gardnerycteris_crenulatum	1.053	2.48743694137244
Miniopterus_australis	0.989	2.28796870242141
Miniopterus_inflatus	1.097	2.48807198431177
Miniopterus_magnater	1.21	2.4849865990346
Miniopterus_pusillus	1.004	2.31097785415854
Miniopterus_tristis	1.217	2.49587912679333
Molossus_molossus	1.236	2.47483774200244
Molossus_rufus	1.462	2.69716719929339
Monophyllus_plethodon	1.134	2.62023584937206
Mormoops_megalophylla	1.107	2.56247160047249
Murina_cyclotis	0.982	2.37139315447136
Murina_huttoni	1.009	2.38592275334146
Myotis_adversus	1.086	2.3772871201093
Myotis_albescens	0.778	2.07780309246655
Myotis_annectans	1.017	2.31710569964846
Myotis_bechsteinii	1.041	2.39586985328546
Myotis_bocagii	0.982	2.25339686523018
Myotis_dasycneme	1.146	2.46431986810657
Myotis_myotis	1.274	2.65907694339085
Myotis_nigricans	0.862	2.11100026230064
Myotis_siligorensis	0.684	1.98557890358024
Natalus_tumidirostris	0.945	2.36796538095518
Noctilio_albiventris	1.407	2.74963685311494
Noctilio_leporinus	1.666	3.04342425236468
Nyctalus_noctula	1.193	2.52928534798622
Nycteris_arge	1.072	2.51972165509131
Nycteris_grandis	1.354	2.82882341601125
Nycteris_hispida	1.009	2.43216548536531
Nycteris_javanica	1.137	2.65047090615567
Nycteris_macrotis	1.17	2.56570573628551
Nycteris_thebaica	1.045	2.4880134922472
Nyctophilus_geoffroyi	0.846	2.1954325071819
Otomops_martiensseni	1.459	2.85387267955123
Peropteryx_macrotis	1.021	2.18774408447669
Phylloderma_stenops	1.559	3.10305487853701
Phyllostomus_discolor	1.589	3.01289560068157
Phyllostomus_elongatus	1.517	2.91962973558399
Phyllostomus_hastatus	1.667	3.15775224544109
Pipistrellus_javanicus	0.805	2.04743835568333
Pipistrellus_tenuis	0.631	1.94445839594312
Afronycteris_nana	0.689	1.97624949883145
Hypsugo_pulveratus	0.903	2.12583275320563
Perimyotis_subflavus	0.722	2.0689992385851
Pteronotus_gymnonotus	1.143	2.50919392843789
Pteronotus_parnellii_mesoamericanus	1.386	2.71076396835588
Pteronotus_personatus	1.017	2.33437416842607
Rhinolophus_cornutus	0.848	2.26307067478927
Rhinolophus_eloquens	1.199	2.58228368121921
Rhinolophus_hipposideros	0.695	2.14741999328989
Rhinolophus_landeri	1.029	2.41927248180996
Rhinolophus_lepidus	0.92	2.24246038366786
Rhinolophus_luctus	1.41	2.76563752486781
Rhinolophus_macrotis	0.818	2.29216841823355
Rhinolophus_malayanus	0.991	2.28065583157794
Rhinolophus_megaphyllus	1.049	2.39284327871508
Rhinolophus_pearsonii	1.143	2.49680535567541
Rhinolophus_pusillus	0.856	2.19036275728536
Rhinolophus_trifoliatus	1.201	2.51948592306197
Rhinolophus_yunnanensis	1.283	2.61598611233896
Rhinonicteris_aurantia	0.941	2.36980993185743
Rhinophylla_pumilio	1.121	2.52389337701925
Rhinopoma_hardwickii	1.14	2.41517493551946
Rhinopoma_microphyllum	1.188	2.56167523073907
Rhogeessa_parvula	0.762	2.02540404611476
Rhynchonycteris_naso	0.832	2.04732050651951
Saccopteryx_bilineata	1.196	2.33483311530367
Saccopteryx_canescens	0.923	2.08934484317686
Saccopteryx_leptura	0.984	2.18322541361085
Scotomanes_ornatus	1.258	2.55494722650546
Scotophilus_dinganii	1.307	2.6152095371468
Scotophilus_kuhlii	1.217	2.50605597481635
Sphaeronycteris_toxophyllum	1.079	2.69540272673135
Sturnira_lilium	1.255	2.7664442150746
Sturnira_ludovici	1.35	2.79971581818209
Sturnira_tildae	1.332	2.82056767486967
Tadarida_aegyptiaca	1.265	2.56759514736225
Taphozous_australis	1.42	2.68911434548403
Taphozous_hildegardeae	1.441	2.71134274302204
Taphozous_mauritianus	1.439	2.71797961523504
Taphozous_melanopogon	1.393	2.70480831622297
Tonatia_bidens	1.461	2.87212442061372
Lophostoma_schulzi	1.1	2.67681030271887
Trachops_cirrhosus	1.439	2.97719852358353
Triaenops_persicus	0.983	2.41026109600416
Tylonycteris_pachypus	0.622	1.87843900376487
Tylonycteris_robustula	0.743	2.03440793493338
Uroderma_bilobatum	1.246	2.76341624316696
Vampyressa_pusilla	1.029	2.55572901399533
Vampyrum_spectrum	1.705	3.38883839645361
Alouatta_seniculus	2.629	4.69064476860801
Aotus_trivirgatus	2.287	4.20956514451613
Ateles_geoffroyi	2.939	5.00423671459412
Avahi_laniger	2.069	3.99079117597203
Plecturocebus_moloch	2.405	4.24999973790912
Callimico_goeldii	2.167	4.02141427425862
Callithrix_jacchus	2.026	3.86010428447601
Cebuella_pygmaea	1.877	3.63358773263483
Cebus_albifrons	2.661	4.8258408678735
Cercopithecus_ascanius	2.758	4.80297404128273
Cercopithecus_mitis_mitis	2.848	4.84835244065239
Cheirogaleus_major	2.01	3.80396492768725
Cheirogaleus_medius	1.812	3.4708780230274
Daubentonia_madagascariensis	2.683	4.6294722319675
Erythrocebus_patas	2.838	5.01330305301563
Eulemur_fulvus_fulvus	2.416	4.34468914865517
Galago_senegalensis	1.865	3.65384583826705
Galagoides_demidoff	1.763	3.50526524207999
Gorilla_gorilla	3.44	5.67214160105073
Homo_sapiens	3.479	6.09769523952942
Hylobates_lar	2.824	4.98887970833346
Indri_indri	2.6	4.55944787748954
Lagothrix_lagotricha	2.877	4.980177796679
Lepilemur_mustelinus	2.127	3.85550540645094
Lophocebus_albigena	2.893	4.9893093148895
Loris_tardigradus_tardigradus	2.017	3.79701647977618
Macaca_mulatta	2.831	4.94427327976376
Microcebus_murinus	1.563	3.22499777943092
Miopithecus_talapoin	2.616	4.57720824492106
Nasalis_larvatus	2.857	4.97211427746941
Nycticebus_coucang	2.277	4.07016900764897
Otolemur_crassicaudatus	2.173	3.98509131950917
Pan_troglodytes	3.153	5.58232825551133
Papio_cynocephalus	2.979	5.28121407692444
Perodicticus_potto	2.306	4.12079897970986
Pithecia_monachus	2.563	4.51688705271499
Piliocolobus_badius	2.7	4.86832778778568
Propithecus_verreauxi	2.48	4.40135338583513
Pygathrix_nemaeus	2.689	4.86047259819674
Saguinus_midas	2.161	3.98108200720884
Saguinus_oedipus	2.152	3.97903342592802
Saimiri_sciureus_sciureus	2.385	4.35321967494396
Tarsius_tarsier	1.728	3.53020840861181
Varecia_variegata	2.566	4.47260429620756
